Datetime;S21 [-]
01/01/2022 00:00;0.0726
01/01/2022 00:15;0.0716
01/01/2022 00:30;0.0707
01/01/2022 00:45;0.0719
01/01/2022 01:00;0.0691
01/01/2022 01:15;0.0681
01/01/2022 01:30;0.067
01/01/2022 01:45;0.0657
01/01/2022 02:00;0.0645
01/01/2022 02:15;0.0622
01/01/2022 02:30;0.0595
01/01/2022 02:45;0.0585
01/01/2022 03:00;0.0605
01/01/2022 03:15;0.0615
01/01/2022 03:30;0.0626
01/01/2022 03:45;0.0619
01/01/2022 04:00;0.0614
01/01/2022 04:15;0.0602
01/01/2022 04:30;0.0624
01/01/2022 04:45;0.063
01/01/2022 05:00;0.0701
01/01/2022 05:15;0.0736
01/01/2022 05:30;0.0776
01/01/2022 05:45;0.0821
01/01/2022 06:00;0.0843
01/01/2022 06:15;0.0918
01/01/2022 06:30;0.1025
01/01/2022 06:45;0.1096
01/01/2022 07:00;0.1245
01/01/2022 07:15;0.1338
01/01/2022 07:30;0.1416
01/01/2022 07:45;0.1437
01/01/2022 08:00;0.1506
01/01/2022 08:15;0.1545
01/01/2022 08:30;0.1544
01/01/2022 08:45;0.1539
01/01/2022 09:00;0.1566
01/01/2022 09:15;0.1582
01/01/2022 09:30;0.1596
01/01/2022 09:45;0.1578
01/01/2022 10:00;0.1624
01/01/2022 10:15;0.169
01/01/2022 10:30;0.1728
01/01/2022 10:45;0.1735
01/01/2022 11:00;0.1705
01/01/2022 11:15;0.1664
01/01/2022 11:30;0.1629
01/01/2022 11:45;0.1604
01/01/2022 12:00;0.1546
01/01/2022 12:15;0.1516
01/01/2022 12:30;0.1498
01/01/2022 12:45;0.1495
01/01/2022 13:00;0.1478
01/01/2022 13:15;0.1451
01/01/2022 13:30;0.1459
01/01/2022 13:45;0.152
01/01/2022 14:00;0.1541
01/01/2022 14:15;0.1525
01/01/2022 14:30;0.1518
01/01/2022 14:45;0.1541
01/01/2022 15:00;0.1569
01/01/2022 15:15;0.1566
01/01/2022 15:30;0.1655
01/01/2022 15:45;0.1782
01/01/2022 16:00;0.1884
01/01/2022 16:15;0.1968
01/01/2022 16:30;0.2011
01/01/2022 16:45;0.2052
01/01/2022 17:00;0.2099
01/01/2022 17:15;0.2085
01/01/2022 17:30;0.2053
01/01/2022 17:45;0.2009
01/01/2022 18:00;0.1997
01/01/2022 18:15;0.1931
01/01/2022 18:30;0.1889
01/01/2022 18:45;0.1847
01/01/2022 19:00;0.1799
01/01/2022 19:15;0.1781
01/01/2022 19:30;0.1759
01/01/2022 19:45;0.1726
01/01/2022 20:00;0.1677
01/01/2022 20:15;0.1633
01/01/2022 20:30;0.1604
01/01/2022 20:45;0.1613
01/01/2022 21:00;0.1524
01/01/2022 21:15;0.147
01/01/2022 21:30;0.1391
01/01/2022 21:45;0.1316
01/01/2022 22:00;0.1168
01/01/2022 22:15;0.1086
01/01/2022 22:30;0.1024
01/01/2022 22:45;0.0939
01/01/2022 23:00;0.0919
01/01/2022 23:15;0.083
01/01/2022 23:30;0.0819
01/01/2022 23:45;0.0774
02/01/2022 00:00;0.0735
02/01/2022 00:15;0.0725
02/01/2022 00:30;0.0715
02/01/2022 00:45;0.0723
02/01/2022 01:00;0.0698
02/01/2022 01:15;0.0688
02/01/2022 01:30;0.0675
02/01/2022 01:45;0.0659
02/01/2022 02:00;0.0643
02/01/2022 02:15;0.0622
02/01/2022 02:30;0.0594
02/01/2022 02:45;0.0585
02/01/2022 03:00;0.0608
02/01/2022 03:15;0.0617
02/01/2022 03:30;0.0627
02/01/2022 03:45;0.062
02/01/2022 04:00;0.0614
02/01/2022 04:15;0.0606
02/01/2022 04:30;0.0628
02/01/2022 04:45;0.0632
02/01/2022 05:00;0.0706
02/01/2022 05:15;0.0738
02/01/2022 05:30;0.0781
02/01/2022 05:45;0.0824
02/01/2022 06:00;0.0843
02/01/2022 06:15;0.0913
02/01/2022 06:30;0.1016
02/01/2022 06:45;0.1087
02/01/2022 07:00;0.1232
02/01/2022 07:15;0.1318
02/01/2022 07:30;0.1388
02/01/2022 07:45;0.14
02/01/2022 08:00;0.1455
02/01/2022 08:15;0.1501
02/01/2022 08:30;0.1497
02/01/2022 08:45;0.1488
02/01/2022 09:00;0.1509
02/01/2022 09:15;0.1524
02/01/2022 09:30;0.1534
02/01/2022 09:45;0.1506
02/01/2022 10:00;0.1553
02/01/2022 10:15;0.1615
02/01/2022 10:30;0.166
02/01/2022 10:45;0.167
02/01/2022 11:00;0.1642
02/01/2022 11:15;0.1605
02/01/2022 11:30;0.1574
02/01/2022 11:45;0.1545
02/01/2022 12:00;0.1481
02/01/2022 12:15;0.1454
02/01/2022 12:30;0.1442
02/01/2022 12:45;0.144
02/01/2022 13:00;0.1419
02/01/2022 13:15;0.1398
02/01/2022 13:30;0.1412
02/01/2022 13:45;0.1472
02/01/2022 14:00;0.1502
02/01/2022 14:15;0.1486
02/01/2022 14:30;0.1482
02/01/2022 14:45;0.1505
02/01/2022 15:00;0.1537
02/01/2022 15:15;0.1531
02/01/2022 15:30;0.1594
02/01/2022 15:45;0.1748
02/01/2022 16:00;0.1853
02/01/2022 16:15;0.1936
02/01/2022 16:30;0.198
02/01/2022 16:45;0.2021
02/01/2022 17:00;0.2066
02/01/2022 17:15;0.2059
02/01/2022 17:30;0.2022
02/01/2022 17:45;0.198
02/01/2022 18:00;0.1976
02/01/2022 18:15;0.1911
02/01/2022 18:30;0.1869
02/01/2022 18:45;0.1829
02/01/2022 19:00;0.1782
02/01/2022 19:15;0.1767
02/01/2022 19:30;0.1745
02/01/2022 19:45;0.1709
02/01/2022 20:00;0.1663
02/01/2022 20:15;0.1616
02/01/2022 20:30;0.1595
02/01/2022 20:45;0.1603
02/01/2022 21:00;0.152
02/01/2022 21:15;0.147
02/01/2022 21:30;0.1397
02/01/2022 21:45;0.1323
02/01/2022 22:00;0.1176
02/01/2022 22:15;0.1093
02/01/2022 22:30;0.1028
02/01/2022 22:45;0.0942
02/01/2022 23:00;0.0923
02/01/2022 23:15;0.0837
02/01/2022 23:30;0.0825
02/01/2022 23:45;0.078
03/01/2022 00:00;0.0738
03/01/2022 00:15;0.0726
03/01/2022 00:30;0.0718
03/01/2022 00:45;0.0727
03/01/2022 01:00;0.0703
03/01/2022 01:15;0.0689
03/01/2022 01:30;0.0676
03/01/2022 01:45;0.066
03/01/2022 02:00;0.0644
03/01/2022 02:15;0.0622
03/01/2022 02:30;0.0595
03/01/2022 02:45;0.0584
03/01/2022 03:00;0.0608
