Datetime;Family [W]
01/01/2022 00:00;73.5
01/01/2022 00:15;22.9
01/01/2022 00:30;19.3
01/01/2022 00:45;35.9
01/01/2022 01:00;51.4
01/01/2022 01:15;20
01/01/2022 01:30;18.6
01/01/2022 01:45;42.7
01/01/2022 02:00;67.8
01/01/2022 02:15;19.1
01/01/2022 02:30;19.6
01/01/2022 02:45;20.4
01/01/2022 03:00;75
01/01/2022 03:15;19.2
01/01/2022 03:30;19.7
01/01/2022 03:45;20.8
01/01/2022 04:00;74.5
01/01/2022 04:15;75
01/01/2022 04:30;92.1
01/01/2022 04:45;94.7
01/01/2022 05:00;340.2
01/01/2022 05:15;388.4
01/01/2022 05:30;76.3
01/01/2022 05:45;76.1
01/01/2022 06:00;75.7
01/01/2022 06:15;222.3
01/01/2022 06:30;193.3
01/01/2022 06:45;218.4
01/01/2022 07:00;217.1
01/01/2022 07:15;264.6
01/01/2022 07:30;220.7
01/01/2022 07:45;220
01/01/2022 08:00;217.4
01/01/2022 08:15;155.1
01/01/2022 08:30;46.9
01/01/2022 08:45;1093.3
01/01/2022 09:00;1549.2
01/01/2022 09:15;1356
01/01/2022 09:30;243.8
01/01/2022 09:45;253.7
01/01/2022 10:00;290.7
01/01/2022 10:15;270.2
01/01/2022 10:30;140.5
01/01/2022 10:45;201.4
01/01/2022 11:00;828.5
01/01/2022 11:15;1878.9
01/01/2022 11:30;3387.7
01/01/2022 11:45;3883.8
01/01/2022 12:00;1185.5
01/01/2022 12:15;371.3
01/01/2022 12:30;131.4
01/01/2022 12:45;42
01/01/2022 13:00;42.6
01/01/2022 13:15;96.7
01/01/2022 13:30;1649.6
01/01/2022 13:45;1529.7
01/01/2022 14:00;1453.9
01/01/2022 14:15;1482.7
01/01/2022 14:30;1950.7
01/01/2022 14:45;1590.5
01/01/2022 15:00;1603.9
01/01/2022 15:15;1323.3
01/01/2022 15:30;248.1
01/01/2022 15:45;280.3
01/01/2022 16:00;380
01/01/2022 16:15;456.2
01/01/2022 16:30;399.5
01/01/2022 16:45;369.2
01/01/2022 17:00;348.9
01/01/2022 17:15;1836.2
01/01/2022 17:30;1266
01/01/2022 17:45;542.6
01/01/2022 18:00;397.5
01/01/2022 18:15;462.1
01/01/2022 18:30;406.5
01/01/2022 18:45;416.4
01/01/2022 19:00;1454.9
01/01/2022 19:15;2351
01/01/2022 19:30;1888.8
01/01/2022 19:45;1210.6
01/01/2022 20:00;80.4
01/01/2022 20:15;81.5
01/01/2022 20:30;60.1
01/01/2022 20:45;125.9
01/01/2022 21:00;129
01/01/2022 21:15;179.2
01/01/2022 21:30;125.3
01/01/2022 21:45;126.1
01/01/2022 22:00;144.2
01/01/2022 22:15;167
01/01/2022 22:30;93.8
01/01/2022 22:45;19.9
01/01/2022 23:00;42.2
01/01/2022 23:15;51.7
01/01/2022 23:30;19.1
01/01/2022 23:45;19.4
02/01/2022 00:00;19.2
02/01/2022 00:15;76.8
02/01/2022 00:30;18.9
02/01/2022 00:45;19.8
02/01/2022 01:00;19.9
02/01/2022 01:15;80.3
02/01/2022 01:30;21.5
02/01/2022 01:45;18.4
02/01/2022 02:00;19.1
02/01/2022 02:15;51.2
02/01/2022 02:30;44.8
02/01/2022 02:45;19.8
